id,solvent,d_d,d_p,d_h
384,(Z)-3-Nonen-1-Yl Acetate,16.4,3.2,4.8
385,(Z)-3-Octen-1-ol,16.4,4.7,11.3
386,(Z)-3-Octen-1-Yl Propionate,16.3,3.3,4.6
387,(Z)-3-Penten-1-ol,16.8,6.2,13.2
388,(Z)-4-Decen-1-Al Diethyl Acetal,15.9,3.1,3.2
389,(Z)-4-Decen-1-ol,16.4,4.4,9.7
390,(Z)-4-Decen-1-Yl Acetate,16.4,3.2,4.5
391,(Z)-4-Dodecen-1-Al,16.3,5.2,4.1
392,(Z)-4-Hepten-1-Al Diethyl Acetal,15.8,3.6,3.5
393,(Z)-4-Hepten-1-ol,16.5,5.4,10.6
394,(Z)-4-Hepten-2-Yl Acetate,16.3,3.3,5
395,(Z)-4-Hepten-2-Yl Butyrate,16.2,2.7,4.1
396,(Z)-4-Hexen-1-Al,16.6,7.4,6
397,(Z)-4-Hexen-1-Yl Acetate,16.4,4.3,5.8
398,(Z)-4-Octen-1-ol,16.4,4.8,9.5
399,(Z)-4-Propenyl Phenol,18.8,4.9,9.7
400,(Z)-5-Decen-1-ol,16.4,4,10.2
401,(Z)-5-Octen-1-Al,16.4,6.5,4.9
402,(Z)-5-Octen-1-ol,16.4,4.7,10.2
403,(Z)-5-Octen-1-Yl Propionate,16.2,3.3,4.4
404,(Z)-5-Octenoic Acid,16.5,5.1,10.1
405,(Z)-6-Nonen-1-Al,16.3,5.8,4.5
406,(Z)-6-Nonen-1-Al Dimethyl Acetal,16,3.7,3.7
407,(Z)-6-Nonen-1-ol,16.4,4.5,9.3
408,(Z)-6-Nonen-1-Yl Acetate,16.4,3.2,4.6
409,(Z)-7-Decen-1-Al,16.3,5.5,4.4
410,(Z)-8-Tetradecen-1-Al,16.3,4.6,3.7
411,(Z)-8-Undecen-1-Al,16.3,5.2,4.2
412,(Z)-Aconitic Acid,18.4,11.9,25.7
413,(Z)-Ambrettolide,17.3,4.6,4
414,(Z)-Anethole,18.5,4.5,4.8
415,(Z)-Carveol,17.3,4,9.2
416,"(Z)-Carvone-5,6-Oxide",17.6,8,4.2
417,(Z)-Carvyl Acetate,16.8,2.9,4.4
418,(Z)-Chrysanthenyl Acetate,16.6,2.3,3.6
419,(Z)-Cinnamaldehyde,18.6,6.8,5.6
420,(Z)-Dihydrocarvone,17.2,5.4,2.8
421,(Z)-Isoeugenol,18.9,5.9,9.9
422,(Z)-Linalool Oxide (Furanoid),16.7,4.5,7
423,(Z)-Linalool Oxide (Pyranoid),16.5,4.6,8.3
424,(Z)-Nerolidol,16.9,1.9,5
425,(Z)-Pinane,16.1,0,0
426,(Z)-Piperitol,16.9,3.5,8.7
427,(Z)-Propenyl Propyl Trisulfide,18.3,5.5,4
428,(Z)-Rose Oxide,16.8,2.8,3.3
429,(Z)-Sabinene Hydrate,17.3,4.2,6.7
430,(Z)-Sabinyl Acetate,16.7,2.9,3.5
431,(Z)-Tagetone,16.2,4.1,3
432,(Z)-Verbenol,17,3.3,8.5
433,(Z)-Verbenyl Acetate,16.6,2.3,3.6
434,(Z)-α-Bisabolene,17.3,0.6,2.8
435,(Z)-α-Damascone,17,3.2,3.3
436,(Z)-β-Damascone,17,3.6,3.6
437,(Z)-β-Farnesene,16.4,0.9,1.8
438,(Z)-β-Ocimene,16.4,1.1,2.5
439,"(Z,E)-Phytol",15.9,2.2,4.2
440,"(Z,Z)-3,6-Nonadien-1-ol",16.9,4.6,9.5
441,"(Z,Z)-3,6-Nonadien-1-Yl Acetate",16.7,3.3,5.1
