id,solvent,d_d,d_p,d_h
7304,Iodoform,20.2,3.6,10.6
7305,Iodononafluoro-t-Butane,14.3,2.4,0.3
7306,Iodopentafluoroethane,14.8,3.8,2.4
7307,Iodoprene,17.2,2.5,6.2
7308,Iodotrifluoroethylene,16.2,3.7,2.5
7309,Iodotrifluoromethane,16.2,5.2,3.3
7310,Ionone Beta,17,3.5,3.5
7311,Ipazine,18.5,9.2,5.7
7312,Ipsdienol,16.6,3.4,8
7313,Irbesartan (Form A),19.3,6.2,1.1
7314,Irg 201,19.3,7.6,13.1
7315,Isatin,21.7,17.6,8.2
7316,Iso E Super,17.1,2.9,2.5
7317,Iso Jasmone,17.9,5.4,4.9
7318,Isoacorone,17.9,7.4,2
7319,Isoagatholal,17.1,5.1,5.8
7320,Isoamyl 2-Methyl Butyrate,15.5,2.5,3.5
7321,Isoamyl 3-(2-Furan) Propionate,16.7,4.3,5.2
7322,Isoamyl 3-Methyl Thiopropionate,17,4.4,5.3
7323,Isoamyl Acetate,15.3,3.1,7
7324,Isoamyl Acetoacetate,16.2,5.9,5.8
7325,Isoamyl Alcohol (3-Methyl-1-Butanol),15.8,5.2,13.3
7326,Isoamyl Angelate,16.1,2.8,4.4
7327,Isoamyl Anthranilate,18,6.4,6.5
7328,Isoamyl Cinnamate,17.4,2.8,4.2
7329,Isoamyl Crotonate,16.1,3.3,4.9
7330,Isoamyl Decanoate,15.9,2.3,3.3
7331,Isoamyl Geranate,16.4,1.8,3.4
7332,Isoamyl Heptanoate,15.8,2.8,3.8
7333,Isoamyl Hexanoate,15.8,3,4
7334,Isoamyl Isobutyrate,15.4,3.1,3.9
7335,Isoamyl Isothiocyanate,16.6,13.1,7.2
7336,Isoamyl Lactate,16.2,5.5,10.5
7337,Isoamyl Laurate,15.9,2.2,2.9
7338,Isoamyl Levulinate,16.2,5.6,5.4
7339,Isoamyl Myristate,15.9,1.9,2.7
7340,Isoamyl Nonanoate,15.8,2.4,3.3
7341,Isoamyl Octanoate,15.8,2.8,3.6
7342,Isoamyl Palmitate,15.9,1.9,2.5
7343,Isoamyl Phenyl Acetate,17.1,3.1,4.3
7344,Isoamyl Propionate,15.7,5.2,5.6
7345,Isoamyl Pyruvate,16.2,6.5,6
7346,Iso-Amyl Salicylate,17.8,6.6,7.3
7347,Isoamyl Tiglate,16.1,2.8,4.4
7348,Isoamyl Undecylenate,16.2,2.1,3.2
7349,Isoascorbic Acid,21,17.9,31.2
7350,Isoborneol,16.9,3.9,7.9
7351,Isobornyl Acetate,16.7,2.8,3
7352,Isobornyl Butyrate,16.6,2.3,2.3
7353,Isobornyl Formate,16.6,3.8,3.6
7354,Isobornyl Isobutyrate,16.5,2.1,2
7355,Isobornyl Isovalerate,16.4,1.9,2
7356,Isobornyl Methyl Ether,16.3,2.5,1.7
7357,Isobornyl Phenyl Acetate,17.7,2.1,2.6
7358,Isobornyl Propionate,16.6,2.6,2.6
7359,Isobutane,14.3,0,0
7360,Iso-Butanol,15.1,5.7,15.9
7361,"Isobutyl (E,E)-2,4-Decadienamide",17.2,7.2,5.5
7362,Isobutyl 2-Butenoate,16,3.6,5.1
7363,Isobutyl 2-Methyl Butyrate,15.4,2.6,3.6
7364,Isobutyl Acetate,15.1,3.7,6.3
7365,Isobutyl Acetoacetate,16.2,6.5,6
7366,Isobutyl Acrylate,15.5,6.2,5
7367,Isobutyl Alcohol,15.1,5.7,15.9
7368,Isobutyl Angelate,16,3.3,4.5
7369,Isobutyl Anthranilate,18.2,6.7,6.7
7370,Isobutyl Benzoate,17.4,5,3.2
7371,Isobutyl Benzyl Carbinol,17.2,3.4,7.5
7372,Isobutyl Butanoate,15.5,3.4,4.3
7373,Isobutyl Chloroformate,16.2,7.6,5.2
7374,Isobutyl Cinnamate,17.4,2.9,4.3
7375,Isobutyl Decanoate,15.8,2.4,3.3
7376,Isobutyl Formate,15.5,6.5,6.7
7377,Isobutyl Furyl Propionate,16.7,4.5,5.3
7378,Isobutyl Heptanoate,15.7,2.9,3.9
7379,Isobutyl Hexanoate,15.7,3.1,4.1
7380,Isobutyl Ionone,16.6,2.1,2.3
7381,Isobutyl Isobutyrate,15.1,2.8,5.8
7382,Iso-Butyl Isobutyrate,15.1,2.8,5.8
7383,Isobutyl Isocyanate,15.7,7.4,4.1
7384,Isobutyl Isocyanide,15.3,10.9,3.7
7385,Isobutyl Isohexanoate,15.7,3.1,4.1
7386,Isobutyl Isopentanoate,15.3,2.9,3.9
7387,Isobutyl Isothiocyanate,16.6,13.9,7.5
7388,Isobutyl Lactate,16.2,6,11.7
7389,Isobutyl Laurate,15.8,2.3,3
7390,Isobutyl Mercaptan,15.9,4.3,4.7
7391,Isobutyl Methacrylate,15.6,3.4,4.4
7392,Isobutyl Methyl Anthranilate,18.1,6.4,5.3
7393,Isobutyl Myristate,15.9,1.9,2.7
7394,Isobutyl Nitrate,15.7,6.7,5.6
7395,Isobutyl Nonanoate,15.8,2.4,3.3
7396,Isobutyl n-Phenylcarbamate,17.7,6.9,6.2
7397,Isobutyl Octanoate,15.7,2.9,3.6
7398,Isobutyl Palmitate,15.9,1.9,2.5
7399,Isobutyl Paraben,18.1,6.3,8
7400,Isobutyl Pentanoate,15.6,3.2,4.2
7401,Isobutyl Phenyl Acetate,17.2,3.2,4.5
7402,Isobutyl Propanoate,15.4,3.9,4.9
7403,Isobutyl Quinoline,18.5,3.3,3.4
7404,Isobutyl Quinoline,18.4,3.6,3.7
7405,Isobutyl Salicylate,18,6.9,7.6
7406,Isobutyl Stearate,15.9,1.6,2.3
7407,Isobutyl Sulfoxide,16.3,10.5,6.1
7408,Isobutyl Tiglate,16,3.3,4.5
7409,Isobutyl Trichloroacetate,16.9,3,3.9
7410,Isobutyl Undecylenate,15.9,2.2,3.1
7411,Isobutyl Vinyl Sulfide,16.3,2.9,3
7412,Isobutyl-3-(Methyl Thio) Butyrate,16.7,3.5,4.6
7413,Isobutylamine,15.4,4.2,7.4
7414,Isobutylbenzene,16.9,1.8,2.4
7415,Isobutylcyclohexane,16,0,0
7416,Isobutylcyclopentane,15.7,0,0
7417,Isobutylene,14.5,2,1.5
7418,Isobutyleneoxide,16.1,4.8,5.8
7419,Isobutyl-Tert-Butyl Ether,14.5,2.2,1.9
7420,Isobutyraldehyde,15.4,8,5.2
7421,Isobutyraldehyde Propylene Glycol Acetal,16,4.3,3.9
7422,Isobutyramide,16.5,12.1,10.7
7423,Isobutyric Acid,15.7,5.4,10.5
7424,Isobutyronitrile,15.3,11.2,4.8
7425,Isocaryophyllene,16.8,0.6,2.2
7426,Isochroman,19.2,4.8,4.9
7427,Isocil,19.6,9.4,8.6
7428,Isocitric Acid,18,13,28
7429,Isocyanic Acid,15.8,10.5,13.6
7430,Isocyclogeraniol,16.7,3.2,8.5
7431,Isodecanal,15.7,5,3.7
7432,Isodecanol,15.8,3.7,8.1
7433,Isodecanol   (8-Methyl-1-Nonanol),15.8,3.7,8.1
7434,Isodihydrolavandulal,15.8,4.6,3
7435,Isodihydrolavandulol,15.9,3.4,7.1
7436,Isodihydrolavandulyl Acetate,15.9,2.2,3.3
7437,Isoeugenyl Acetate,18.5,5.2,6.1
7438,Isoeugenyl Benzoate,19.1,5.9,4.5
7439,Isoeugenyl Butyl Ether,17.8,3.9,4.4
7440,Isoeugenyl Ethyl Acetal,18,4.9,5
7441,Isoeugenyl Formate,18.5,6.4,6.9
7442,Isoeugenyl Phenyl Acetate,19,3.8,5.3
7443,Isoheptyl Acetate,15.7,3.5,4.5
7444,Isojasmone,17.4,5.6,4.3
7446,Isolongifolene Epoxide,16.9,2.7,1.6
7447,Isolongifolene Ketone,17.3,3.9,0.9
7448,Isomenthone,16.9,5.2,2.4
7449,Isomethyl Tetrahydroionyl Acetate,16.2,1.3,1.9
7450,Isoniazid,20.8,17.2,13.7
7451,Isononyl Acetate,15.8,2.7,4
7452,Isononyl Alcohol,15.8,4,8.4
7453,Isononyl Anthranilate,17.4,5.1,5.5
7454,Isooctyl Alcohol,14.4,7.3,12.9
7455,Isopentane,13.8,0,0
7456,Iso-Pentyl Acetate,15.3,3.1,7
7457,iso-Pentyl Alcohol,15.8,5.2,13.3
7458,Isopentyl Benzoate,17.3,4.9,3.2
7459,Isopentyl Formate,15.5,5.2,5.8
7460,Isopentyl Isovalerate,15.4,2.7,3.8
7461,Isopentyl Pentanoate,15.7,3.1,4.1
7462,Isopentylether,15.2,2.3,2.4
7463,Isopentylidene Isopentyl Amine,15.2,3,1.8
7464,Isophorone Diisocyanate,16.9,6.2,3
7465,Isophthalaldehyde,19.6,11.7,6.5
7466,Isophthalic Acid,20.1,7.6,12.9
7467,Isophthaloyl Chloride,19.6,9.5,5.5
7468,Isophytol,15.9,1.5,3.1
7469,Isopimaric Acid,17.8,3.2,5
7470,Isopinocamphone,17,5,1.8
7471,Isopiperitenone,17.5,5.4,3.8
7472,"Isoprene (2-Methyl-1,3-Butadiene)",14.7,1.4,4.1
7473,Isoprenyl Acetate,16,4.3,5.5
7474,Isopropalin,18.1,4.9,3.6
7475,Isopropenyl Pyrazine,18.1,7.6,5.3
7476,Isopropenylphenol,18.3,4.4,8.5
7477,Isopropyl,18,7.3,6.4
7478,Isopropyl  Methacrylate,15.6,3.8,4.6
7479,Isopropyl (E)-Crotonate,16.1,4.1,5.3
7480,Isopropyl 2-Methyl Butyrate,15.4,2.9,3.7
7481,Isopropyl 3-Methyl Thiocrotonate,17.3,3.6,3.2
7482,Isopropyl Acetate,14.9,4.5,8.2
7483,Iso-Propyl Acetate,14.9,4.5,8.2
7484,Isopropyl Acrylate,15.6,4.4,5.3
7485,Isopropyl Amine (2-Propan Amine),14.8,4.4,6.6
7486,Isopropyl Anthranilate,18.3,7.2,6.9
7487,Isopropyl Benzene (Cumene),18.1,1.2,1.2
7488,Isopropyl Benzoate,17.4,5.4,3.3
7489,Isopropyl Butanoate,15.5,3.8,4.5
7490,Isopropyl Butyl Ether,15.1,3.2,2.9
7491,Isopropyl Chloride (2-Chloro Propane),15,8,2
7492,Isopropyl Chloroformate,16.2,8.4,5.5
7493,Isopropyl Cinnamate,17.7,3.2,4.5
7494,Isopropyl Decanoate,15.9,2.6,3.3
7495,Isopropyl Disulfide,16.2,4.1,2.2
7496,Isopropyl Ether,15.1,3.2,3.2
7497,Isopropyl Formate,15.4,6.2,6.4
7498,Isopropyl Hexanoate,15.7,3.4,4.3
7499,Isopropyl Hydrophenanthrene (Fichtelite),16.9,0,0
7500,Isopropyl Isobutyl Ether,14.8,2.8,2.4
7501,Isopropyl Isobutyrate ,15.3,3.6,4.2
7502,Isopropyl Isocyanide,15.3,12,3.8
7503,Isopropyl Isothiocyanate,16.6,15.2,7.9
7504,Isopropyl Isovalerate,15.3,3.2,4
7505,Isopropyl Laurate,15.9,2.4,3
7506,Isopropyl Levulinate,16.3,6.7,5.8
7507,Isopropyl Myristate,16,2.1,2.7
7508,Isopropyl Nicotinate,17.9,7.3,4.4
7509,Isopropyl Nitrate,15.8,7.4,5.9
7510,Isopropyl Nitrite,14.6,10.1,6.4
7511,Isopropyl Nonanoate,15.8,2.6,3.4
7512,Isopropyl Octanoate,15.8,3.1,3.7
7513,Isopropyl Palmitate,16.2,3.9,3.7
7514,Isopropyl Phenyl Acetate,17.4,3.5,4.6
7515,Isopropyl Phenyl Sulfide,18.8,3.5,2.5
7516,Isopropyl Propanoate,15.4,4.4,5.1
7517,Isopropyl Pyrazine,17.7,7.2,4.9
7518,Isopropyl Quinoline,18.6,3.8,3.9
7519,Isopropyl Salicylate,18.1,7.5,8
7520,Isopropyl Thioisovalerate,16.5,3.3,2.6
7521,Isopropyl Tiglate,16,3.5,4.6
7522,Isopropyl Trifluoroacetate,14.5,4.6,4.6
7523,Isopropyl Valerate,15.6,3.6,4.4
7524,Isopropyl Vinyl Ketone,15.7,6.1,3.8
7525,Isopropylcyclohexane,16,0,0
7526,Isopropylcyclopentane,15.7,0,0
7527,Isopropylcyclopropane,15.6,0,0
7528,Isopropylnaphthalene,18.7,2.2,3.1
7529,Isopropyl-Tert-Butyl-Ether,14.3,2.5,1.9
7530,Isopulegol,16.8,3.8,8.1
7531,Isopulegol Acetate,16.6,2.7,3.5
7532,Isopulegone,17.2,5.4,2.8
7533,Isopulegyl Formate,16.5,3.7,4.1
7534,Isoquercetin,18.6,16.7,25.3
7535,Isoquinoline,19.8,5.6,6.2
7536,"Isoquinoline, 1,2,3,4-Tetahydo-",19.4,5,5.7
7537,Isoterpinolene,16.8,1.6,3.4
7538,Isothiocyanic Acid,18.7,24.9,16.1
7539,Isotridecanol,15.8,3.2,6.9
7540,Isouron,17.9,11.3,8.4
7541,Isovaleraldehyde,14.7,9.5,5
7542,Isovaleraldehyde Diethyl Acetal,15.2,3.5,3
7543,Isovaleraldehyde Propylene Glycol Acetal,15.9,3.9,3.8
7544,Isovaleric Acid,16.4,4.1,10.7
7545,Isovanilin,19.6,11.1,12.5
7546,Isoxaben,18.5,10.1,6.2
7547,Isoxazole,18.8,13.4,11.2
7548,Itaconic Acid,17.2,9.4,20.5
7549,Ivy Carbaldehyde / Methyl Anthranilate Schiff's Base,17.8,5.5,3.1
7550,Ivy Carbaldehyde / Methyl Anthranilate Schiff's Base,18.6,5.2,6.1
7551,Ivy Dioxolane,17,2.6,3.1
7552,Iyral,17.1,6.6,7.6
7553,Jasimia,16.3,4,5.5
7554,Jasmacyclene,17.4,3.2,4.1
7555,Jasmin Acetate,16.4,5.1,9.2
7556,Jasmin Acetoacetate,16.3,5,4.8
7557,Jasmin Cyclopentanol,16.9,4,7.4
7558,Jasmin Cyclopentanone,17,5.4,2.9
7559,Jasmin Lactone,16.9,7.4,4.6
7560,Jasmin Nonane,16.9,3.7,3.6
7561,Jasmin Pyranol,16.5,3.9,4.3
7562,Jasmin Pyranone,16.8,6.7,4.4
7563,Jasminone,17.5,6.1,3.5
7564,Junenol,17,2.6,5.8
7565,Juniper Carboxaldehyde,17,4.6,3.1
7566,Kaurene,17.3,0.7,0.3
7567,Kepone,21,10.8,0
7568,Kessane,16.8,1.6,1.2
7570,Ketoconazole,21.2,14.5,6.4
7571,Ketoisophorone,18.1,9.7,4.4
7572,Ketoprofen,19.3,6.8,7.4
7573,Ketorolac,19.9,8.9,8.9
7574,Koavone,15.8,3.3,1.8
7575,l-1-Methylhistidine,18.6,9.9,13.1
7576,l-2-Pyrrolidone-5-Carboxylic Acid,19.5,15.2,16
7577,"l-3,4-Dihydroxyphenylalanine ",19.4,8.6,19.8
7578,l-3-Methylhistidine,18.6,9.9,13.2
7579,Labdanum Ethanone,17.3,3.2,1.6
7580,Labetalol,18.4,10.5,14.1
7581,Lactic Acid,17.3,10.2,23.3
7582,Lactic Acid (dl),17,8.3,28.4
7583,Lactonitrile,17.3,15.9,17.4
7584,Lactose,15.6,16.9,20.4
7585,Lactoyl Ethanolamine,18.8,17.8,22.2
7586,Lactoyl Ethanolamine Phosphate,21,23,36.4
7587,Laevo-Arabinose,18.1,14.9,24.4
7588,Laevo-Arginine,17.7,14.7,15.5
7589,Laevo-Aspartic Acid,18.1,10.1,21.6
7590,Laevo-Carvone,17.5,5.7,3.8
7591,Laevo-Citronellol,16.4,4,8.2
7592,Laevo-Citronellyl Acetate,16.3,3,4.2
7593,Laevo-Fenchone,17.3,5.5,2.2
7594,Laevo-Glutamine,18.2,15,19.6
7595,Laevo-Histidine,19.4,12.3,16.7
7596,Laevo-Linalool,16.7,2.6,6.7
7597,Laevo-Linalyl Acetate,16.3,1.8,3.5
7598,Laevo-Menthyl Acetoacetate,16.8,4.1,3.9
7599,Laevo-Menthyl Formate,16.3,3.5,3.8
7600,Laevo-Menthyl Isobutyrate,16.2,2,2.3
7601,Laevo-Menthyl Lactate,16.7,4.2,7.8
7602,Laevo-Menthyl Methyl Ether,16,2.3,2
7603,Laevo-Menthyl Phenyl Acetate,17.3,2,2.8
7604,Laevo-Menthyl Propionate,16.3,2.4,2.9
7605,Laevo-Monomenthyl Glutarate,16.7,4.4,7.2
7606,Laevo-Piperitone,17.2,5.2,3.4
7607,Laevo-Rose Oxide,16.8,2.8,3.3
7608,Laevo-Verbenone,17.3,5,2.9
7609,Laevo-β-Pinene,16.3,1.2,1.9
7610,Lamivudine,19,14,13
7611,Lamotrigine,21.6,12.6,10.9
7612,l-Argininosuccinic Acid,17.5,11.9,15.3
7613,l-Asparagine,18.5,16.3,21.5
7614,Lauryl Isobutyrate,15.9,2.1,2.7
7615,Lauryl Lactate,16.3,4.1,7
7616,Lauryl Methacrylate,14.4,2.2,5.1
7617,Lauryl Sarcosine,17,8.4,8.1
7618,Lavandulol,16.4,3,7.7
7619,Lavandulyl Acetate,16.4,1.8,3.9
7620,l-Cysteic Acid,19.3,19.2,28.7
7622,l-Cystine,18.9,11.1,17.4
7623,l-Dopa,18,8.2,20.3
7624,Leaf Acetal,15.9,3.8,3.8
7625,Leafy Acetal,16.8,3.5,3.5
7626,Leafy Oxime,15.7,2.6,7.9
7627,Leather Cyclohexanol,16.7,4.1,8.8
7628,Leather Propionate,17.8,5.8,10.4
7629,Ledol,17.1,2.2,4.1
7630,Leerall / Methyl Anthranilate Schiff's Base,17.4,6.4,5.2
7631,Lemon Hexadiene,17.1,2.9,5.2
7632,Leucic Acid,16.2,7,16.7
7634,Levo-Carveol,17.3,4,9.2
7635,Levulinic Acid,17.1,10.3,13.5
7636,l-Glutamic Acid,17.7,9.6,20.7
7637,l-Glutathione,19.6,21.5,20.4
7639,Ligustral,16.9,6,4.5
7640,Lilac Acetaldehyde,18.3,7.1,5.5
7641,Lilac Lactone,16.8,9.8,5.3
7642,Lilac Pentanol,17.6,2.8,6.5
7643,Lilial (P.T. Bucinal),17.1,4.4,3.1
7644,Lily Pentanal,17.4,5.2,4.4
7645,Lily Propanol,17.5,3.4,6.6
7646,Lilyall / Methyl Anthranilate Schiff's Base,17.7,4.5,2
7647,Lime Octenol,16,3.2,6.1
7648,Limonen-10-Yl Acetate,17.1,3,5
7649,Limonene Glycol,17.5,5.3,10
7650,Limonene Oxide,16.8,4,3.5
7651,Linalool,16.7,2.6,6.7
7652,Linalool Oxide,17.1,4.9,8.3
7653,Linalool Oxide (Furanoid),16.7,4.5,7
7654,Linalool Oxide (Pyranoid),16.5,4.6,8.3
7655,Linalool Oxide Acetates,16.4,3.5,3.7
7656,Linalyl Acetate,16.3,1.8,3.5
7657,Linalyl Anthranilate,17.9,4,5.1
7658,Linalyl Benzoate,17.3,2.9,2.2
7659,Linalyl Butyrate,16.2,1.4,2.9
7660,Linalyl Cinnamate,17.5,1.2,3
7661,Linalyl Formate,16.2,2.7,4.1
7662,Linalyl Hexanoate,16.4,1,2.8
7663,Linalyl Isobutyrate,16.2,1.2,2.6
7664,Linalyl Isovalerate,16.1,1.6,2.8
7665,Linalyl Octanoate,16.3,1.3,2.6
7666,Linalyl Phenyl Acetate,17.3,1.1,3.1
7667,Linalyl Propionate,16.3,1.7,3.2
7668,Linalyl Valerate,16.3,1.4,2.9
7669,Lindane,19.7,22.2,2.3
7670,Linoleic Acid,16.8,3.3,6.2
7671,Linolenic Acid,17,3.3,6.5
7672,Linuron,20.1,12.1,10.6
7674,l-Limonene,16.7,1.8,3.1
7675,l-Menthol,16,4.7,9
7676,l-Menthone,17,8.1,4.4
7677,l-Menthone ,16.9,5.2,2.4
7678,l-Menthyl Acetate,16.8,4.7,4.9
7679,l-Menthyl Lactate,16.7,4.2,7.8
7680,Longiborneol,17,2.7,5.2
7681,Longicyclene,16.9,0,0
7682,Longifolene,16.6,0.5,0.6
7687,l-Pipecolic Acid,17.5,6.4,11.9
7689,l-Thyroxine,23.8,7.3,12.5
7692,Lutein,17.8,1.5,5.1
7693,Luteolin,20.9,12.2,19.3
7694,Lutidinic Acid,20.2,10.5,14.7
7695,Lychee Mercaptan Acetate,16.8,4,4.8
7696,Lycopene,17.3,0,1.7
7698,"M,A-Dimethylstyrene",17.6,2,2.1
7699,m-Acetylbenzoic Acid,19.6,8.6,8.2
7700,Magnolia Cyclohexanol,17.8,3.6,5.3
7701,Magnolia Decadienal,16.3,4.7,3.8
7702,Magnolia Indene,18.1,3.3,3.2
7703,Magnolol,19.4,5,9.4
7704,Malaoxon,17.7,11.6,9.4
7705,Maleic,22.1,23.2,12.5
7706,Maleic Acid,17.9,10.4,23.1
7707,Maleimide,19.3,21,11.7
7708,Maleonitrile,17.7,21.1,8.8
7709,Malic Acid,17.9,12.3,26.6
7710,Malonamide,19.2,24,20.6
7711,Malonic Acid,17.7,11.4,24.7
7712,Malononitrile,17,18.4,6.7
7713,Maltol,19.9,12.2,16
7714,Maltyl Isobutyrate,17.8,8.1,7.5
7715,Maltyl Propionate,18.1,9,8.5
7716,m-Aminoacetophenone,19.7,8.3,8.2
7717,m-Aminobenzaldehyde,20,9.4,9.9
7718,m-Aminobenzenesulfonic Acid,20.9,15.9,22.3
7719,m-Aminobenzoic Acid,20.3,7.3,13.2
7720,m-Aminophenol,20.1,7.4,15.8
7721,Mandarine Undecenal,16.4,5.4,4.3
7722,Mandelic Acid ,18.6,7.8,17.4
7723,Mandelonitrile,18.8,11.4,13
7724,Mango Furanone,17.8,8.5,6.1
7725,Mango Thiol,17.1,2.6,2.3
7726,m-Anisic Acid,19.4,6.9,9.3
7727,m-Anisidine,19.4,6.7,9.3
7728,Manool,16.8,1.1,3.1
7729,Manoyl Oxide,17,1.4,0.3
7730,Maraniol,18.6,8.2,6.4
7731,Marine Carbonitrile,17.3,5.8,4.4
7732,Marine Decadienal,16.7,4.9,4
7733,Marine Formate,16.2,3.5,3.6
7734,Marine Hexane,15.9,2,1.7
7735,Marine Nitrile,17.3,5.8,4
7736,Marine Pyridine,17.8,3.3,2.7
7737,Maritima,17.8,3.3,2.7
7738,Massoia Lactone,16.7,7,4.8
7739,Mayol,17.8,2.3,6.9
7740,m-Bromoaniline ,20,6.5,8.7
7741,m-Bromobenzoic Acid,20.1,6.8,8.8
7742,m-Bromonitrobenzene,19.9,9.4,4.7
7743,m-Bromophenol,19.7,6.8,10.8
7744,m-Bromotoluene,18.8,4.3,3.6
7745,m-Chloroaniline,20.2,7.3,9.8
7746,m-Chloroanisole,18.9,5.7,4.5
7747,m-Chlorobenzaldehyde,19.4,8.1,4.9
7748,m-Chlorobenzoic Acid,19.8,6.1,8.4
7749,m-Chlorobenzoyl Chloride,19.4,7.1,4.4
7750,m-Chloronitrobenzene,19.6,8.7,4.3
7751,m-Chlorophenol,19.4,6.1,10.4
7752,m-Chlorophenyl Methacrylate,18.5,4.4,4.5
7753,m-Chlorostyrene,18.4,3.3,2.8
7754,m-Chlorotoluene,18.4,3.6,3
7755,m-Coumaric Acid,19.3,7.2,15.7
7756,m-Cyanophenoxyacetic Acid,19.4,12,10.8
7757,m-Cymene,17.3,1.8,1.7
7758,m-Dibromobenzene,19.7,6,4.3
7759,m-Dichlorobenzene,19.2,5.1,2.7
7760,m-Diethylbenzene,17.4,2.3,2.1
7761,m-Difluorobenzene,17.5,5.1,3.6
7762,m-Diiodobenzene,21,4.8,4.9
7763,m-Diisopropylbenzene,16.9,1.2,0.9
7764,m-Dimethoxybenzene,18.6,6.4,5.6
7765,m-Dinitrobenzene,20,12.2,5.1
7766,m-Divinylbenzene,17.8,2.2,2.5
7767,Meclofenoxate,16,6.2,9
7768,Mecoprop,18.8,6.7,9.9
7769,Medroxyprogesterone Acetate,18.3,5.3,3.3
7770,Mefenamic Acid,20.1,4.9,7.9
7772,Melamine,21.8,17.5,22.6
7773,Melon Carboxaldehyde,17.6,5.4,3.8
7774,Melon Heptenal Propylene Glycol Acetal,16.5,3.4,3.4
7775,Melon Nonenoate,16.4,3.5,5
7776,Meloxicam,20.6,16.4,13.9
7777,Melphalan,19.8,8.7,10
7778,Menglytate,16.3,3.2,3.4
7779,Menthadienol,17.3,4.3,9.5
7780,Menthadienyl Formate,16.9,4.1,6
7781,Menthofuran,17.2,4.6,5.6
7782,Menthol,16.5,3.6,7.6
7783,Menthol Carboxamide,17.1,7.4,4.7
7784,Menthone Lactone,16.4,6.5,3.6
7785,Menthoxypropane Diol,16.5,4.9,10
7786,Menthyl Acetate,16.4,2.5,3.4
7787,Menthyl Anthranilate,17.9,4.7,4.8
7788,Menthyl Formate,16.3,3.5,3.8
7789,Menthyl Hexanoate,16.4,1.9,2.5
7790,Menthyl Isovalerate,16.2,1.5,2
7791,Menthyl Methyl Lactate,16.7,3.8,7.1
7792,Menthyl Propionate,16.3,2.4,2.9
7793,Menthyl Pyrrolidone Carboxylate,17.9,5,5.2
7794,Menthyl Salicylate,17.7,4.9,5
7795,Menthyl Valerate,16.4,2.1,2.5
7796,Mepafynol,16.5,4.5,9.3
7799,Mercaptoacetaldehyde,18,12.5,9.6
7800,Mesitene Lactone,17.3,9.2,7.3
7801,Mesityl Oxide,16.4,7.2,5
7802,Mesitylene,18,0.6,0.6
7803,Mesitylenic Acid,18.8,5,8
7804,"Meso-2,3-Butanediol",17,7.8,18.3
7805,"Meso-2,3-Dibromobutane",17.7,4.4,5.4
7806,"Meso-2,3-Dichlorobutane",16.5,4.6,2.5
7807,"Meso-2,4-Pentanediol",17.1,7.9,18.4
7808,Meso-Tartaric Acid,18,12.9,27.3
7809,Mestanolone,18.6,5.7,4.5
7810,Meta-Anisaldehyde,19.1,9,6.1
7811,Metabromsalon,21.1,12,11.2
7812,Metacil,20.7,17.4,16.4
7813,Metalaxyl,18.3,8.9,10.5
7814,Metamitron,19,12.7,6.5
7815,Metconazole,19.6,8.4,4.5
7816,Methabenzthiazuron,20.8,12.1,10.1
7817,Methacrylaldehyde,15,10.3,7.1
7818,Methacrylamide,15.8,11,11.6
7819,Methacrylic Acid,15.8,2.8,12
7820,"Methacrylic Acid,  2-Methoxyethyl Ester",16.2,5.1,6.4
7821,Methacrylonitrile,15.8,9.5,5.4
7822,Methamidophos,20.3,17.2,12.5
7823,"Methanamine, 1,1,1-Trifluoro-N-Methyl-n-(Trifluoromethyl)-",13.1,3.5,2.4
7824,"Methanamine, n-(Difluoromethyl)-1,1,1-Trifluoro-n-(Trifluoromethyl)-",13.1,4.1,2.3
7825,Methandienone,18.8,5.6,5.4
7826,Methane (Liquid B.P.),14,0,0
7827,"Methanediamine, N,N,N',N'-Tetramethyl-",15.3,2.3,4.3
7828,Methanesulfonic Acid,18.7,20.7,23.8
7829,Methanesulfonyl Chloride,17.9,19.8,8.2
7830,"Methanone, (4-Hydoxyphenyl)Phenyl-",20.2,7.7,8.6
7831,"Methanone, Bis[4-(Dimethylamino)Phenyl]-",20.1,6.3,6.1
7832,"Methanone,_(2,4-Dihydroxyphenyl)Phenyl-",20.5,9.2,12.8
7833,Methapyrilene,19.5,4.4,6.4
7834,Metharbital,18.4,13.2,8.8
7835,Methazole,20.5,9.4,8.9
7836,Methialdol,18.4,7.3,5.6
7837,Methimazole,18.9,14.5,14.9
7838,Methiocarb,19.9,7.8,6.1
7839,Methionine,18.1,7.3,13.2
7840,Methionyl Butyrate,16.9,4.7,5.3
7841,Methomyl,18.1,11.8,5.4
7842,Methotrexate,20.1,19,12.7
7843,Methoxy Methanol,16,9,18.5
7844,Methoxyacetic Acid,16.6,9,15.6
7845,Methoxyacetonitrile,16.4,14.3,7.8
7846,Methoxycitronellal,15.7,5.4,3.7
7847,Methoxyhexanone (Pentoxone),15.3,6,5.9
7848,Methoxymelonal,15.6,5.9,3.7
7849,Methoxymethyl Pyrazine,18.4,9.5,7.1
7850,Methoxymethyl Vinyl Sulfide,17.2,5.5,5.4
7851,Methoxytrimethylsilane,13.4,2.6,2.9
7852,"Methyfluoro(2-(N,N-Diamino)Ethyl)Ketone",13.4,4.8,2.9
7853,"Methyl  3,3,3-Trifluoropropyl  Ether",14.3,4.7,3.9
